ID,TLC,EOM,LEAF,Gaia,RAdeg,DEdeg,plx,Gmag,bp-rp
25251,22,-1,,6247659814758281600,237.9228,-20.2531,6.31,17.8,4.1
25252,22,17,,6247571613307371904,239.7959,-18.8457,6.4,12.6,2.0
25253,22,17,,6247585189705806720,240.4994,-18.7294,7.37,14.3,2.7
25254,22,17,,6247585189706073216,240.4902,-18.7285,7.3,15.2,3.1
25255,22,17,,6247567597520113280,239.9559,-18.8911,6.34,15.9,3.9
25256,22,17,,6247575465899922432,240.1477,-18.7662,7.42,15.3,3.1
25259,22,17,,6247571583249729280,239.7957,-18.8498,6.53,13.3,2.7
25260,22,17,,6247618827888839808,237.6718,-20.6938,7.16,17.2,3.8
25261,22,-1,,5341151755154406784,165.572,-55.4853,9.27,13.6,2.6
25264,22,-1,,6208721267592463232,233.2102,-30.6145,8.79,15.5,3.1
25265,22,17,,6240749044878858880,237.6647,-21.6633,6.75,15.6,3.3
25268,22,17,,6240732998881558784,237.8279,-21.7566,7.15,15.5,3.2
25269,22,17,,6240733445557819264,237.918,-21.7697,7.03,15.4,3.3
25270,22,-1,,6240712726633273216,236.7706,-21.628,6.07,16.3,3.4
